"lemnaID","LIB","Name","New_name","Lat","Long","Category","Genotype","from","percGerm"
"TB_setaria_12_0368","XSHY","MF99","TB_setaria_12_0368","42.38066","-123.46179","Diversity","TB_0368","XSHY_XSHY_XSHY_XSHY",0.75
"TB_setaria_12_0381","XSNA","MF112","TB_setaria_12_0381","35.78482","-112.12958","Diversity","TB_0381","XSNA_XSNA_XSNA_XSNA",0.9
"TB_setaria_12_0407","AGTTW","Feldman_MF133","TB_setaria_12_0407","43.7157","-98.02695","Diversity","TB_0407","AGTTW_AGTTW_AGTTW_AGTTW",0.8
"TB_setaria_12_0409","AGTTX","Feldman_MF135","TB_setaria_12_0409","44.34158","-98.4577","Diversity","TB_0409","AGTTX_AGTTX_AGTTX_AGTTX",0.85
"TB_setaria_12_0411","AGTTZ","Feldman_MF137","TB_setaria_12_0411","45.488313","-98.523227","Diversity","TB_0411","AGTTZ_AGTTZ_AGTTZ_AGTTZ",0.9
"TB_setaria_12_0412","AGTUA","Feldman_MF138","TB_setaria_12_0412","45.83619","-98.51136","Diversity","TB_0412","AGTUA_AGTUA_AGTUA_AGTUA",0.65
"TB_setaria_12_0418","AGTUN","Feldman_MF144","TB_setaria_12_0418","46.83783","-100.5827","Diversity","TB_0418","AGTUN_AGTUN_AGTUN_AGTUN",0.95
"TB_setaria_12_0420","AGTUP","Feldman_MF146","TB_setaria_12_0420","46.86644","-101.82427","Diversity","TB_0420","AGTUP_AGTUP_AGTUP_AGTUP",0.9
"TB_setaria_12_0428","AGTUY","Feldman_MF154","TB_setaria_12_0428","46.29461","-103.92215","Diversity","TB_0428","AGTUY_AGTUY_AGTUY_AGTUY",0.75
"TB_setaria_12_0429","AGTUZ","Feldman_MF155","TB_setaria_12_0429","46.3681","-104.35066","Diversity","TB_0429","AGTUZ_AGTUZ_AGTUZ_AGTUZ",0.95
"TB_setaria_12_0433","AGTWC","Feldman_MF159","TB_setaria_12_0433","46.26244","-106.92829","Diversity","TB_0433","AGTWC_AGTWC_AGTWC_AGTWC",0.7
"TB_setaria_12_0434","AGTWG","Feldman_MF160","TB_setaria_12_0434","46.13985","-107.50673","Diversity","TB_0434","AGTWG_AGTWG_AGTWG_AGTWG",0.8
"TB_setaria_12_0441","AGYTT","Feldman_MF167","TB_setaria_12_0441","43.41328","-106.2771","Diversity","TB_0441","AGYTT_AGYTT_AGYTT_AGYTT",0.8
"TB_setaria_12_0444","AGYTU","Feldman_MF170","TB_setaria_12_0444","42.76134","-105.3903","Diversity","TB_0444","AGYTU_AGYTU_AGYTU_AGYTU",0.95
"TB_setaria_12_0446","AGYTX","Feldman_MF172","TB_setaria_12_0446","43.24482","-104.29449","Diversity","TB_0446","AGYTX_AGYTX_AGYTX_AGYTX",0.75
"TB_setaria_12_0447","AGYTY","Feldman_MF173","TB_setaria_12_0447","43.30425","-103.99532","Diversity","TB_0447","AGYTY_AGYTY_AGYTY_AGYTY",0.95
"TB_setaria_12_0449","AGYTZ","Feldman_MF175","TB_setaria_12_0449","43.41896","-103.55039","Diversity","TB_0449","AGYTZ_AGYTZ_AGYTZ_AGYTZ",0.25
